                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.78433,                  0.773,                 1.1749,                0.80289,                0.72487,                0.80276,                0.64204,                 0.7945,                0.81561,                 1.1218,              0.0088516,              0.0088516,              0.0088516
                     61,                0.75998,                0.75288,                 1.1702,                0.83184,                 0.7169,                0.80183,                0.64241,                0.78901,                0.83034,                 1.1082,              0.0088318,              0.0088318,              0.0088318
                     62,                0.77589,                0.76547,                 1.1658,                0.85647,                0.71202,                0.81114,                0.65357,                0.78034,                0.81361,                 1.1049,               0.008812,               0.008812,               0.008812
                     63,                 0.7808,                0.75735,                 1.1669,                0.83535,                 0.7109,                 0.8045,                0.63797,                0.80066,                0.80667,                 1.1213,              0.0087922,              0.0087922,              0.0087922
                     64,                0.77301,                0.76249,                 1.1734,                0.80154,                0.71818,                0.79648,                0.63939,                0.78614,                0.82654,                 1.1073,              0.0087724,              0.0087724,              0.0087724
                     65,                0.77944,                0.76132,                 1.1744,                0.86449,                0.68518,                0.81334,                0.65015,                 0.7929,                0.81129,                 1.1051,              0.0087526,              0.0087526,              0.0087526
                     66,                0.76443,                0.75565,                 1.1608,                0.85783,                0.71587,                0.81169,                0.65283,                0.76641,                0.79315,                  1.085,              0.0087328,              0.0087328,              0.0087328
                     67,                0.77477,                0.74211,                 1.1726,                0.80847,                0.73278,                0.81133,                 0.6552,                0.77563,                0.79898,                 1.1038,               0.008713,               0.008713,               0.008713
                     68,                0.77536,                0.74742,                 1.1706,                0.82378,                0.72936,                0.79907,                0.63964,                0.78131,                0.81723,                 1.0944,              0.0086932,              0.0086932,              0.0086932
                     69,                0.77912,                0.75595,                 1.1739,                0.84536,                0.72083,                0.81582,                0.65707,                0.76528,                 0.7904,                 1.0893,              0.0086734,              0.0086734,              0.0086734
                     70,                0.75049,                  0.717,                 1.1592,                0.81861,                0.72396,                0.80977,                0.65184,                0.77925,                0.79194,                 1.0949,              0.0086536,              0.0086536,              0.0086536
                     71,                 0.7602,                0.75513,                 1.1658,                0.83444,                0.71971,                0.80705,                0.64689,                0.77589,                0.81444,                 1.0924,              0.0086338,              0.0086338,              0.0086338
                     72,                0.77134,                0.73008,                 1.1706,                0.85687,                0.70484,                0.80861,                0.65915,                0.76046,                0.79727,                 1.0785,               0.008614,               0.008614,               0.008614
                     73,                0.75068,                0.72163,                 1.1531,                0.82364,                0.73213,                0.81193,                 0.6509,                0.78527,                0.84085,                 1.1042,              0.0085942,              0.0085942,              0.0085942
                     74,                0.76738,                0.73701,                 1.1554,                 0.8013,                0.74067,                0.81395,                0.65941,                0.77513,                0.79151,                 1.0926,              0.0085744,              0.0085744,              0.0085744
                     75,                0.75512,                0.72262,                  1.148,                0.82159,                0.71599,                0.80302,                0.65023,                0.76793,                0.81769,                 1.0962,              0.0085546,              0.0085546,              0.0085546
                     76,                0.75737,                0.71505,                 1.1519,                0.81617,                 0.7415,                0.81458,                0.66098,                0.77518,                 0.7838,                 1.0981,              0.0085348,              0.0085348,              0.0085348
                     77,                0.74154,                0.71298,                 1.1478,                 0.8228,                 0.7308,                0.81442,                0.65666,                0.76217,                0.77435,                 1.0832,               0.008515,               0.008515,               0.008515
                     78,                0.75945,                0.72175,                 1.1569,                0.83901,                0.70929,                0.81103,                 0.6545,                0.77056,                 0.7939,                 1.0764,              0.0084952,              0.0084952,              0.0084952
                     79,                0.74033,                0.70151,                 1.1474,                0.77001,                0.75861,                0.81406,                0.65753,                0.75622,                 0.7893,                 1.0779,              0.0084754,              0.0084754,              0.0084754
                     80,                0.74701,                 0.7127,                  1.148,                 0.8281,                0.72893,                0.81359,                0.66211,                0.76389,                0.77573,                 1.0824,              0.0084556,              0.0084556,              0.0084556
                     81,                0.75372,                0.71222,                  1.156,                0.80358,                0.72572,                0.80566,                0.65185,                0.77613,                0.79692,                 1.0929,              0.0084358,              0.0084358,              0.0084358
                     82,                0.73381,                 0.6945,                 1.1393,                0.81249,                0.73827,                0.81454,                0.66171,                0.74795,                0.77101,                 1.0739,               0.008416,               0.008416,               0.008416
                     83,                0.73489,                0.69667,                 1.1465,                0.81547,                0.70048,                0.79326,                0.64665,                0.75821,                0.82654,                 1.0839,              0.0083962,              0.0083962,              0.0083962
                     84,                0.73869,                0.69921,                 1.1446,                0.83289,                0.71237,                0.81028,                0.64776,                0.78031,                0.77914,                 1.0955,              0.0083764,              0.0083764,              0.0083764
                     85,                0.74022,                0.71237,                 1.1508,                0.76759,                0.75888,                0.81188,                0.65847,                0.75833,                0.77033,                 1.0826,              0.0083566,              0.0083566,              0.0083566
                     86,                0.73619,                0.70192,                 1.1466,                0.78638,                0.74205,                0.81061,                0.65311,                0.76728,                0.80231,                 1.0938,              0.0083368,              0.0083368,              0.0083368
                     87,                0.74714,                0.69961,                 1.1526,                0.77879,                0.74772,                0.80965,                0.65827,                0.76372,                 0.7789,                 1.0806,               0.008317,               0.008317,               0.008317
                     88,                0.73958,                0.68621,                 1.1472,                0.83316,                0.71796,                0.81108,                0.65361,                0.78836,                0.79808,                 1.0977,              0.0082972,              0.0082972,              0.0082972
                     89,                0.73175,                0.67871,                 1.1338,                 0.8173,                0.72068,                0.80437,                 0.6479,                0.76457,                0.82372,                 1.0833,              0.0082774,              0.0082774,              0.0082774
                     90,                0.72895,                0.68586,                 1.1324,                0.83496,                0.71874,                0.81191,                0.65985,                0.76716,                 0.7897,                 1.0874,              0.0082576,              0.0082576,              0.0082576
                     91,                 0.7269,                0.68544,                 1.1362,                0.85275,                0.69909,                0.79986,                0.64693,                0.77674,                0.79047,                 1.0988,              0.0082378,              0.0082378,              0.0082378
                     92,                0.72987,                0.67865,                   1.14,                0.83367,                0.72315,                0.80747,                0.65689,                 0.7652,                0.79558,                 1.0814,               0.008218,               0.008218,               0.008218
                     93,                0.71947,                0.66363,                 1.1328,                0.83812,                0.72545,                 0.8112,                0.65562,                0.76244,                0.79436,                 1.0966,              0.0081982,              0.0081982,              0.0081982
                     94,                0.73295,                0.68139,                 1.1439,                0.82262,                0.72482,                 0.8015,                0.65247,                0.76433,                 0.7836,                 1.0837,              0.0081784,              0.0081784,              0.0081784
                     95,                0.72719,                0.68932,                 1.1486,                0.80448,                 0.7354,                0.80683,                0.64978,                0.77509,                0.79787,                 1.0874,              0.0081586,              0.0081586,              0.0081586
                     96,                0.72447,                0.66983,                 1.1374,                0.83066,                0.73459,                0.80631,                0.65571,                0.75478,                0.77701,                 1.0797,              0.0081388,              0.0081388,              0.0081388
                     97,                0.72388,                0.66919,                 1.1366,                0.81776,                0.71844,                0.80662,                0.65289,                0.76436,                0.78064,                 1.0809,               0.008119,               0.008119,               0.008119
                     98,                0.73251,                0.66522,                 1.1318,                0.83507,                 0.7255,                0.81791,                0.66471,                0.75137,                  0.779,                 1.0739,              0.0080992,              0.0080992,              0.0080992
                     99,                 0.7195,                0.66318,                 1.1236,                0.79837,                0.74886,                 0.8136,                0.66583,                0.73923,                0.76544,                 1.0601,              0.0080794,              0.0080794,              0.0080794
                    100,                0.71019,                0.65579,                 1.1194,                0.80751,                0.74661,                0.80977,                0.65268,                0.75881,                0.78671,                 1.0777,              0.0080596,              0.0080596,              0.0080596
                    101,                  0.723,                0.66959,                 1.1325,                0.86145,                0.69936,                0.81047,                0.65831,                0.74839,                0.77403,                 1.0697,              0.0080398,              0.0080398,              0.0080398
                    102,                 0.7253,                0.65412,                 1.1357,                0.82958,                0.72781,                0.80691,                0.65649,                0.75711,                0.78379,                 1.0704,                0.00802,                0.00802,                0.00802
                    103,                0.72745,                 0.6591,                 1.1317,                 0.8225,                0.72149,                0.80884,                0.65932,                0.75682,                0.77689,                 1.0666,              0.0080002,              0.0080002,              0.0080002
                    104,                0.72261,                0.64835,                 1.1293,                0.80794,                0.72591,                0.80219,                0.65943,                0.74666,                0.78322,                 1.0661,              0.0079804,              0.0079804,              0.0079804
                    105,                0.71635,                0.66031,                 1.1331,                0.82538,                0.73029,                0.80643,                0.65664,                0.74597,                 0.7768,                 1.0718,              0.0079606,              0.0079606,              0.0079606
                    106,                0.71005,                0.64427,                 1.1249,                0.83508,                0.72022,                0.80522,                0.65423,                0.75821,                0.79039,                 1.0709,              0.0079408,              0.0079408,              0.0079408
                    107,                0.73306,                0.65421,                 1.1349,                0.85972,                0.70946,                0.81972,                0.66702,                 0.7522,                0.76086,                 1.0731,               0.007921,               0.007921,               0.007921
                    108,                0.70587,                0.64279,                 1.1221,                 0.8066,                0.73973,                0.80736,                0.66158,                0.75322,                0.79112,                 1.0676,              0.0079012,              0.0079012,              0.0079012
                    109,                0.70756,                0.65792,                 1.1217,                0.82164,                0.72726,                0.80225,                0.65496,                0.75358,                0.80194,                  1.066,              0.0078814,              0.0078814,              0.0078814
                    110,                0.69664,                0.63987,                 1.1199,                 0.8028,                0.71868,                0.80163,                0.65359,                0.75607,                0.79682,                 1.0764,              0.0078616,              0.0078616,              0.0078616
                    111,                0.71411,                 0.6527,                 1.1277,                0.76854,                0.74571,                0.80591,                0.65805,                0.74638,                0.79648,                 1.0709,              0.0078418,              0.0078418,              0.0078418
                    112,                0.70539,                0.63923,                 1.1272,                0.79075,                0.74822,                0.81325,                0.66415,                0.75704,                0.79042,                 1.0801,               0.007822,               0.007822,               0.007822
